screen_name,hashtag,tweet_id
FoxNews,#challenges,687412586959142912
NintendoAmerica,#challenges,687817228155240448
FoxNews,#challenges,687505700184961024
ScituateMAGOP,#challenges,687915462802444289
brunornc64,#challenges,687915425531850752
HJakisa,#challenges,687915390245158912
TopCourses7,#challenges,687915379239333888
spbsm,#challenges,687915356673957888
uohanalilly,#challenges,687915334494466048
chanyatang2,#challenges,687915330346160128
Djryeffect_23,#challenges,687915314470883328
piercetheputa,#challenges,687915313497673728
tiaaaarx,#challenges,687915300159881220
TwadioShow,#challenges,687915291842580480
mch7576,#challenges,687915284473057280
nohemirozct,#challenges,687915270984212480
aaprajabhau,#challenges,687915240642707456
PositiveSigns,#challenges,687915193297408000
debonsk,#challenges,687915173592477696
adomaa_music,#challenges,687915169033355264
santosw227,#challenges,687915168987246592
SplatoonNews,#challenges,687915147172548609
102Amadeus,#challenges,687915137433473024
ekbharatfanclub,#challenges,687915135931842560
nishantberia,#challenges,687915117917257728
prezasaraus,#challenges,687915105233842176
cafe_avec,#challenges,687915092080496640
ronbeatyjr,#challenges,687915089006096384
elio_danna,#challenges,687915081674420225
JohnnReddic,#challenges,687915007992958976
mecharw86,#challenges,687914992331427840
jeannick_odier,#challenges,687914991454937089
alertgforce,#challenges,687914959057981440
Bellalindafox,#challenges,687914954825977856
tonton0510,#challenges,687914945715937280
Arden_Forester,#challenges,687914921917546496
jericnedia12,#challenges,687914910181801984
PaigePrysm,#challenges,687914909938651136
WeFitter,#challenges,687914890393219072
thusomm,#challenges,687914877940305921
maichardest,#challenges,687914874073055233
mutharagladys,#challenges,687914861217615873
NGRGUARDIANNEWS,#challenges,687914833421987840
Newscater,#challenges,687914830586494976
yrlinkedincoach,#challenges,687914825792516097
DWF_EnergyLaw,#challenges,687914818569912320
Newscater,#challenges,687914799620059136
Adschwyter,#challenges,687914761565159424
EngagementExpo,#challenges,687914735224930304
WeValueYou,#challenges,687914732951592960
Loyalty360EU,#challenges,687914732540588032
360Connect,#challenges,687914731798159360
BigDataTweetBot,#challenges,687914720704237568
NavidaJoy,#challenges,687914689385246720
dp_informatica,#challenges,687914646062415872
TopCourses7,#challenges,687914625103429632
dlCanadanews,#challenges,687914614936342528
violencehurts,#challenges,687914569176494080
MASSAGRABBER,#challenges,687914555654078464
__rosie0,#challenges,687914519977275392
carolinedj13,#challenges,687914515334344704
elinas_d,#challenges,687914514101219328
crayonbachs,#challenges,687914485156200448
myradio360,#challenges,687914482887180289
budugu_blahblah,#challenges,687914482882891777
HeartVandelay,#challenges,687914473789734912
DOLifestyleBlog,#challenges,687914471948468225
AdamSanto,#challenges,687914454479192064
mangoman2014,#challenges,687914440822374400
davidnewbs,#challenges,687914418798227456
plotwhisperer,#challenges,687914413123334145
UNICOMSeminars,#challenges,687914402159443968
scorpiotweetz,#challenges,687914382915842049
jareferani,#challenges,687914374707556352
PalupiAmanda,#challenges,687914373541576704
BikauMediashits,#challenges,687914333045698560
NiccAtNightt,#challenges,687914325822984192
iamkelechi,#challenges,687914262296150016
Daniel_Creasey,#challenges,687914255622901760
FEandPartners,#challenges,687914227630125056
gcouprie,#challenges,687914205144563712
mariepadis,#challenges,687914188312678400
SadafShahid13,#challenges,687914052383801344
Ace24lacson,#challenges,687914005109669889
dksharma27,#challenges,687913949187014657
bmariage58,#challenges,687913945890484224
les_decideurs,#challenges,687913940144226304
AgFunder,#challenges,687913883881877504
siewlee1806,#challenges,687913883097382912
TopCourses7,#challenges,687913869067579392
rjjoconnell,#challenges,687913851208249344
rjjoconnell,#challenges,687913830563852288
MrsMurat,#challenges,687913825375510528
DLidington,#challenges,687913792165036032
cidrimcidrim,#challenges,687913762129592320
shafatfzd,#challenges,687913747374059520
watchheadlines,#challenges,687913720886984704
GBMCSurgery,#challenges,687913717128904704
guevarahoe,#challenges,687913714289258501
palashbiswaskl,#challenges,687913711252553728
tyleroakley,#selfie,687809680899354624
realwbonner,#selfie,687431582223888385
A3Noticias,#selfie,687456405071204352
hurricanehowell,#selfie,687915508839104512
RealGirlsWild,#selfie,687915507752824832
